,destination,price,carrier_go,duration_go,departure_go,arrival_go,stops_go,carrier_back,duration_back,departure_back,arrival_back,stops_back
0,Milan Malpensa,308.0,Wizz Air Malta,135,2025-07-01T09:15:00,2025-07-01T11:30:00,0,Wizz Air Malta,150,2025-07-10T06:00:00,2025-07-10T08:30:00,0
1,Milan Malpensa,335.92,Ryanair,130,2025-07-01T20:00:00,2025-07-01T22:10:00,0,Ryanair,145,2025-07-10T10:15:00,2025-07-10T12:40:00,0
2,Milan Bergamo,351.92,Ryanair,135,2025-07-01T06:30:00,2025-07-01T08:45:00,0,Ryanair,145,2025-07-10T22:30:00,2025-07-11T00:55:00,0
3,Milan Bergamo,351.92,Ryanair,135,2025-07-01T06:30:00,2025-07-01T08:45:00,0,Ryanair,145,2025-07-10T10:15:00,2025-07-10T12:40:00,0
4,Milan Malpensa,379.92,Ryanair,130,2025-07-01T20:00:00,2025-07-01T22:10:00,0,Ryanair,145,2025-07-10T14:40:00,2025-07-10T17:05:00,0
5,Milan Bergamo,395.92,Ryanair,135,2025-07-01T06:30:00,2025-07-01T08:45:00,0,Ryanair,145,2025-07-10T14:40:00,2025-07-10T17:05:00,0
6,Milan Malpensa,335.92,Ryanair,130,2025-07-01T20:00:00,2025-07-01T22:10:00,0,Ryanair,145,2025-07-10T22:30:00,2025-07-11T00:55:00,0
7,Milan Malpensa,260.69,Ryanair,130,2025-07-01T20:00:00,2025-07-01T22:10:00,0,Wizz Air Malta,150,2025-07-10T06:00:00,2025-07-10T08:30:00,0
8,Milan Malpensa,467.4,Wizz Air Malta,135,2025-07-01T09:15:00,2025-07-01T11:30:00,0,Iberia,140,2025-07-10T11:40:00,2025-07-10T14:00:00,0
9,Milan Bergamo,278.37,Ryanair,135,2025-07-01T06:30:00,2025-07-01T08:45:00,0,Wizz Air Malta,150,2025-07-10T06:00:00,2025-07-10T08:30:00,0
10,Milan Malpensa,230.0,Wizz Air Malta,135,2025-07-02T09:15:00,2025-07-02T11:30:00,0,Wizz Air Malta,150,2025-07-11T06:00:00,2025-07-11T08:30:00,0
11,Milan Malpensa,400.14,Iberia,130,2025-07-02T11:50:00,2025-07-02T14:00:00,0,Iberia,145,2025-07-11T10:25:00,2025-07-11T12:50:00,0
12,Milan Malpensa,404.19,Iberia,130,2025-07-02T11:50:00,2025-07-02T14:00:00,0,Iberia,140,2025-07-11T20:25:00,2025-07-11T22:45:00,0
13,Milan Linate,400.14,Iberia,130,2025-07-02T20:50:00,2025-07-02T23:00:00,0,Iberia,145,2025-07-11T10:25:00,2025-07-11T12:50:00,0
14,Milan Linate,404.19,Iberia,130,2025-07-02T08:50:00,2025-07-02T11:00:00,0,Iberia,140,2025-07-11T20:25:00,2025-07-11T22:45:00,0
15,Milan Linate,404.19,Iberia,130,2025-07-02T20:50:00,2025-07-02T23:00:00,0,Iberia,140,2025-07-11T20:25:00,2025-07-11T22:45:00,0
16,Milan Malpensa,404.19,Iberia,130,2025-07-02T07:30:00,2025-07-02T09:40:00,0,Iberia,140,2025-07-11T20:25:00,2025-07-11T22:45:00,0
